hour,Sum of Estimated_Duration,Sum of month,Sum of day,weekday
20,224145.95089169996,11132,27547,Tuesday
22,200211.04782375233,10477,25586,Tuesday
19,198526.94879993334,11716,29636,Wednesday
20,184902.61216689437,11311,29143,Friday
9,182100.22063167492,8688,22260,Monday
13,162202.83511486393,8005,19639,Monday
16,155704.21415214674,7517,18670,Monday
21,153801.85255878852,11027,27280,Tuesday
13,150201.60766266147,9349,23250,Wednesday
22,148758.7994977571,11387,29083,Friday
20,147874.14584079143,11944,29698,Thursday
19,145506.22547698417,12533,30927,Thursday
18,145156.1896996598,10508,26184,Saturday
22,144129.3912666342,8244,19934,Monday
17,143477.07820253805,9345,23374,Saturday
15,143391.00777354074,9156,22892,Saturday
8,143231.01040167414,9490,25460,Friday
14,142694.75463800758,8630,21998,Tuesday
1,135693.06176626662,3279,8252,Wednesday
15,134618.04532324162,8200,20556,Monday
14,134328.78430825955,8820,23195,Friday
10,133913.6790904511,9084,21357,Wednesday
16,131950.9348044633,7202,18145,Tuesday
0,129859.27293028626,10422,26549,Saturday
1,128584.37899451602,9345,23597,Saturday
21,128489.4515376509,11773,29683,Thursday
22,122129.4032608863,11245,28401,Thursday
23,121540.80329532451,11452,28815,Friday
0,118127.76271040546,8243,20206,Friday
7,117595.27169759657,8280,20143,Thursday
9,116945.3766917605,9273,22649,Friday
11,116200.20479934225,8918,22525,Thursday
12,115357.40833485301,8198,20227,Monday
10,114312.6115813422,7554,18163,Monday
22,113267.89068481274,10333,26272,Wednesday
19,110865.4550568748,12630,33246,Friday
14,109565.62176817718,8768,22263,Saturday
13,109214.87741811105,9279,22928,Friday
11,108613.4019424918,8111,20569,Saturday
7,108482.32954994359,8379,20841,Tuesday
16,108449.68951840534,7461,19249,Sunday
12,107812.0966199702,8962,22280,Saturday
0,107802.58247747018,6618,16359,Thursday
15,107291.56868655006,8700,21382,Tuesday
12,107231.28218477509,9221,23740,Friday
20,105392.29612269682,8196,20329,Sunday
23,99062.05334871453,11556,29738,Saturday
21,97015.08463755844,11303,28309,Wednesday
17,95088.94240005659,9103,22372,Wednesday
18,94965.24012005386,11096,27847,Wednesday
19,93239.43093630314,11123,28315,Saturday
18,93215.1929558115,8864,23276,Sunday
16,92926.69555876289,8138,20455,Saturday
17,92878.74384020035,7690,19123,Sunday
15,92811.75885291754,8295,21108,Sunday
2,92552.37185653723,8563,21025,Sunday
16,92140.27625998597,6698,16498,Wednesday
8,92058.18766578576,10276,25676,Tuesday
8,91417.85736419416,9728,24523,Wednesday
15,90899.32833658035,8696,20982,Wednesday
13,90639.54811505193,9067,22834,Thursday
10,89517.22681701957,8460,21531,Friday
16,88763.10557547853,6843,17547,Thursday
0,87265.20987855825,11027,28278,Sunday
18,85925.52494493089,11387,28883,Friday
6,85333.4352448591,4355,10876,Tuesday
18,85268.75001593895,10700,26162,Monday
19,85138.68750573636,10736,25940,Monday
13,84921.5528207263,9173,22734,Sunday
23,84454.58915864553,8101,19958,Tuesday
8,83495.9151625858,10311,25881,Thursday
9,82196.45677886863,9575,24928,Tuesday
11,81557.82174636536,8813,21148,Tuesday
21,79857.01661988167,8794,21993,Monday
12,79312.6529561669,9625,23133,Wednesday
15,79029.41598963818,8505,22075,Thursday
11,77765.05030664362,8239,20927,Sunday
9,77632.55481350877,9869,23819,Thursday
10,76804.94525297021,7389,18899,Saturday
1,69806.88986460934,10274,25278,Sunday
20,68864.39385072018,11113,28169,Wednesday
22,68535.64502617442,10665,28890,Saturday
14,67888.27298265324,9092,22687,Wednesday
18,67664.1526998048,11799,29184,Tuesday
17,65794.23939518463,8619,21716,Thursday
13,65555.8926472234,9498,24563,Saturday
14,65500.94389437874,9102,22301,Thursday
17,65218.38007730987,8829,22060,Friday
22,65177.836749615686,6809,17081,Sunday
8,64830.255114893924,8908,22512,Monday
12,64802.36344230748,8884,21303,Sunday
9,64727.7682563283,9894,24063,Wednesday
14,64623.078692195995,7975,18724,Monday
10,64386.629195665875,8526,21937,Tuesday
11,64017.846960739626,8224,20054,Monday
13,63937.757943821736,8789,21975,Tuesday
12,63824.75915826288,8747,21870,Tuesday
10,63548.373971135596,8825,21843,Thursday
11,61303.70899983633,8418,20847,Friday
18,60720.59583719983,10905,27763,Thursday
4,60075.21532609388,3960,9719,Saturday
0,60073.35196135396,3747,9622,Monday
9,60011.33528058055,4995,12424,Sunday
0,59716.4267030522,4376,10251,Tuesday
14,57897.77738865813,8686,21966,Sunday
5,57399.24338181503,1885,4506,Friday
5,56173.43028827559,1800,4284,Tuesday
21,55910.86987034307,11079,28062,Friday
20,55018.7493407664,10037,24732,Monday
11,52789.91804971431,8920,21606,Wednesday
17,52584.20827974899,8978,21664,Monday
9,52373.22209603876,6295,15771,Saturday
1,51953.55210328092,5645,13265,Friday
23,43335.32691799701,10216,26327,Thursday
19,42008.70932772401,8661,21687,Sunday
21,41042.87238612576,10639,26863,Saturday
7,40962.735813278705,8468,20867,Wednesday
3,38220.17741850791,6586,16862,Sunday
17,38051.55346138889,8804,22209,Tuesday
19,37968.359773012904,11479,28915,Tuesday
23,37918.938882126,6481,15626,Monday
21,37681.58102175659,7034,17560,Sunday
16,37122.72983714328,7331,18457,Friday
23,37070.772429927834,5790,14137,Sunday
10,36558.343482706754,6710,16608,Sunday
4,35415.771712823414,4438,10843,Sunday
6,34567.3794560695,4732,12246,Thursday
6,34076.680457804905,3996,10494,Friday
